delta_pts_scored_pg,delta_pts_conceded_pg,delta_try_bonus_rate,delta_home_away_win_pct,delta_last5_form,is_neutral,home_win
-6.333333333333332,12.666666666666666,-0.5,-1.0,-19.0,0.0,0
-6.166666666666666,-0.33333333333333215,0.25,0.5,-5.833333333333334,0.0,1
17.5,-14.5,0.5,1.0,32.0,0.0,1
-15.666666666666668,-4.666666666666668,-0.75,-0.5,-11.0,0.0,0
8.333333333333332,-14.666666666666666,0.5,1.0,23.0,0.0,1
24.0,-0.6666666666666679,0.5,1.0,24.666666666666668,0.0,1
-2.166666666666668,5.666666666666668,0.0,-1.0,-7.833333333333334,0.0,0
-1.5,-13.0,-0.5,1.0,11.5,0.0,1
0.1666666666666643,20.0,0.25,-1.0,-19.833333333333336,0.0,0
10.166666666666668,-5.166666666666668,0.0,0.5,15.333333333333334,0.0,1
-11.999999999999998,10.333333333333334,-0.25,-0.5,-22.333333333333336,0.0,0
-5.0,19.0,0.0,0.0,-24.0,0.0,0
7.166666666666668,-0.5,0.5,1.0,7.666666666666667,0.0,1
5.166666666666668,-11.0,0.75,1.0,16.166666666666668,0.0,1
4.666666666666668,-11.833333333333332,0.25,1.0,16.5,0.0,1
8.166666666666668,3.333333333333332,0.5,1.0,4.833333333333333,0.0,1
-10.5,-5.0,-0.5,-1.0,-5.5,0.0,0
-3.666666666666668,14.5,-0.75,-1.0,-18.166666666666668,0.0,0
-2.666666666666668,2.166666666666668,0.0,-1.0,-4.833333333333333,0.0,0
-6.166666666666668,8.333333333333332,-0.25,-1.0,-14.5,0.0,0
-2.0,-5.0,-0.5,1.0,3.0,0.0,1
30.0,-22.0,0.5,1.0,52.0,0.0,1
-0.16666666666666785,5.0,0.0,-1.0,-5.166666666666667,0.0,0
-3.333333333333332,8.333333333333332,0.0,0.5,-11.666666666666668,0.0,1
2.3333333333333357,-8.333333333333332,-0.25,1.0,10.666666666666668,0.0,1
7.666666666666668,8.0,0.75,0.5,-0.33333333333333304,0.0,1
4.666666666666664,-11.333333333333332,-0.25,1.0,16.0,0.0,1
-2.3333333333333357,-1.5,-0.25,0.5,-0.8333333333333339,0.0,1
16.833333333333336,-9.833333333333332,0.75,1.0,26.666666666666668,0.0,1
-7.5,7.5,0.0,-1.0,-15.0,0.0,0
6.0,-9.666666666666668,0.75,1.0,15.666666666666666,0.0,1
4.333333333333332,-6.0,-0.25,0.5,10.333333333333332,0.0,1
-7.333333333333336,0.0,-0.5,0.5,-7.333333333333333,0.0,1
6.333333333333336,-16.0,0.25,1.0,22.333333333333336,0.0,1
-8.666666666666664,2.666666666666668,-0.25,-1.0,-11.333333333333332,0.0,0
3.5,3.5,0.0,-1.0,0.0,0.0,0
-6.333333333333332,14.666666666666664,-0.25,-1.0,-21.0,0.0,0
-12.5,20.0,-0.5,-1.0,-32.5,0.0,0
4.0,8.666666666666664,0.5,-0.5,-4.666666666666667,0.0,0
-3.0000000000000036,-6.333333333333336,-0.25,1.0,3.3333333333333335,0.0,1
-5.333333333333336,8.666666666666668,-0.5,0.0,-14.0,0.0,0
7.666666666666664,-3.0,0.5,0.0,10.666666666666668,0.0,1
23.999999999999996,-20.333333333333336,0.5,0.5,44.333333333333336,0.0,1
-7.666666666666664,0.6666666666666679,0.0,0.0,-8.333333333333332,0.0,1
9.666666666666668,-0.3333333333333357,0.25,0.5,10.0,0.0,1
-4.666666666666666,2.666666666666668,0.0,0.5,-7.333333333333334,0.0,1
1.3333333333333321,0.6666666666666679,-0.25,-1.0,0.6666666666666661,0.0,0
-7.0,1.0,-0.5,-1.0,-8.0,0.0,0
-11.0,8.666666666666668,-0.25,-1.0,-19.666666666666668,0.0,0
4.000000000000002,-0.6666666666666679,0.0,-0.5,4.666666666666667,0.0,0
-16.333333333333332,10.666666666666666,-0.25,1.0,-27.0,0.0,1
0.0,-9.0,0.25,0.0,9.0,0.0,0
2.0,0.0,0.25,0.0,2.0,0.0,0
26.0,-14.333333333333334,0.5,0.5,40.333333333333336,0.0,1
9.0,-2.0,0.25,0.0,11.0,0.0,0
-1.3333333333333321,0.3333333333333357,0.0,-0.5,-1.666666666666667,0.0,0
-24.666666666666664,7.0,-0.75,-1.0,-31.666666666666664,0.0,0
1.6666666666666679,-8.0,-0.25,0.5,9.666666666666668,0.0,1
-7.333333333333336,10.666666666666666,-0.25,-1.0,-18.0,0.0,0
-4.0,13.666666666666664,-0.75,-1.0,-17.666666666666668,0.0,0
0.33333333333333215,8.0,-0.5,1.0,-7.666666666666667,0.0,1
1.3333333333333286,-11.333333333333332,0.5,-0.5,12.666666666666668,0.0,0
13.666666666666668,-11.666666666666664,0.75,1.0,25.333333333333332,0.0,1
13.333333333333336,-5.666666666666668,0.75,1.0,19.0,0.0,1
9.0,5.0,0.5,1.0,4.0,0.0,1
-3.333333333333332,-7.666666666666666,0.0,-1.0,4.333333333333333,0.0,0
-9.333333333333336,-7.9999999999999964,0.0,0.5,-1.3333333333333335,0.0,1
3.6666666666666643,10.666666666666664,-0.25,1.0,-7.0,0.0,1
-5.666666666666664,-2.0,-0.5,-0.5,-3.666666666666667,0.0,0
-15.666666666666668,16.666666666666664,-0.25,-1.0,-32.33333333333333,0.0,0
19.000000000000004,-3.333333333333332,1.0,1.0,22.333333333333336,0.0,1
